cefr_level,translation
C2,"En el mundo empresarial actual, demasiados ejecutivos gastan dinero que no han ganado para comprar cosas que no necesitan para impresionar a personas con las que ni siquiera se gustan."
B1,No sabía que bebiera tanto.
C1,Cualquier actividad que debas realizar llevará más tiempo del que tienes disponible.
UNKNOWN,Muy bien hecho.
A1,¿Quieres jugo de fruta?
A1,Es una buena persona.
UNKNOWN,Haz lo que te guste.
A1,¡Buen provecho!
C2,No hay amor sin celos.
C2,Ningún amor es malo ni prisión es justa.
A2,No había ni un alma.
A2,Estamos cortados del mismo paño.
A2,Las paredes tienen oídos.
A2,Tengo un sapo en la garganta.
A2,Siéntete como en casa.
C2,Nada grandioso se ha logrado jugando a lo seguro.
C2,"En general, se sabe poco sobre las ecuaciones diferenciales no lineales de segundo orden."
C2,Mali es uno de los países más pobres de África subsahariana.
C2,"En esta etapa, aún no hay una política energética clara para llevar energía descentralizada a las zonas rurales."
A2,¿Por qué no vienes con nosotros?
A2,No puedo decir lo contrario.
C2,¿Por qué me hablas de hipopótamos de repente? No veo la conexión entre eso y tus doce peces de oro rojos.
B2,"No le escuches, está hablando tonterías."
B2,No te puedes perder en las grandes ciudades; ¡hay mapas por todas partes!
A2,"Lo sentimos, la persona que intenta contactar no está disponible."
A1,Ya no lo quiero.
B1,Él vino varias veces.
C1,Nos preguntamos por qué.
A2,Debemos pensar en los amigos.
A1,Voy a tomar un baño.
B2,"Estaba lloviendo cuando salimos, pero para cuando llegamos, hacía sol."
A1,Salimos en tren.
B2,"Si comes demasiado, te volverás gordo."
C1,No sé si lo habría hecho por mí.
A2,¿Te gustaría venir?
B2,Sabía que él aceptaría.
B2,"Ella vendría gustosamente, pero estaba de vacaciones."
A1,Pensé que era verdad.
B2,Este es el pueblo del que te hablé.
B2,Este es el chico en el que pienso.
B2,Se le ha advertido en varias ocasiones.
A2,Tengo que devolver el libro antes del sábado.
C2,Nos esforzamos tanto por mejorar las cosas para nuestros hijos que las empeoramos.
B1,"Hola, solo quería informarte que el problema está solucionado."
B2,¿Cómo puedes tener una laptop y no un teléfono celular?
B1,Fui a tomar una cerveza con amigos.
B1,Él saltó por la ventana.
B1,Ayer nos divertimos.
A1,Ellos discutieron.
A1,Comí caviar.
B1,Ha cambiado mucho desde la última vez.
B1,Este cuchillo me fue muy útil.
A1,Tomaste la llave equivocada.
A1,Logré entrar.
A1,¿Cuánto cuesta?
A1,Te traigo la cuenta de inmediato.
A1,Aquí está su cambio.
